sample_dt,Year,sample_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,hyd_cond_cd,samp_type_cd,hyd_event_cd,"Discharge, cubic feet per second","Discharge, instantaneous, cubic feet per second","Enforced Discharge, cfs","Suspended sediment concentration, milligrams per liter","Suspended sediment discharge, short tons per day"
sample_dt,Year,sample_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,hyd_cond_cd,samp_type_cd,hyd_event_cd,p00060,p00061,,p80154,p80155
10d,,5d,3s,1s,8s,3s,9s,1s,1s,1s,12s,12s,,12s,12s
12/23/57,1957.98,15:30,EST,T,USGS-WRD,WS,,A,9,9,,471,471,16,20
1/15/58,1958.04,12:15,EST,T,USGS-WRD,WS,,A,9,9,,315,315,12,10
1/31/58,1958.08,10:15,EST,T,USGS-WRD,WS,,A,9,9,,310,310,4,3.3
2/13/58,1958.12,14:30,EST,T,USGS-WRD,WS,,A,9,9,,366,366,5,4.9
3/4/58,1958.17,11:05,EST,T,USGS-WRD,WS,,A,9,9,,366,366,10,9.9
3/11/58,1958.19,16:10,EST,T,USGS-WRD,WS,,A,9,9,,375,375,12,12
3/18/58,1958.21,11:05,EST,T,USGS-WRD,WS,,A,9,9,,642,642,64,111
3/28/58,1958.24,9:10,EST,T,USGS-WRD,WS,,A,9,9,,525,525,25,35
4/16/58,1958.29,12:55,EST,T,USGS-WRD,WS,,A,9,9,,748,748,75,151
4/21/58,1958.30,17:40,EST,T,USGS-WRD,WS,,A,9,9,,444,444,21,25
6/5/58,1958.43,9:05,EST,T,USGS-WRD,WS,,A,9,9,,267,267,15,11
7/15/58,1958.54,18:45,EST,T,USGS-WRD,WS,,A,9,9,,481,481,50,65
8/28/58,1958.66,8:30,EST,T,USGS-WRD,WS,,A,9,9,,197,197,14,7.4
9/10/58,1958.69,12:30,EST,T,USGS-WRD,WS,,A,9,9,,136,136,8,2.9
10/6/58,1958.76,14:50,EST,T,USGS-WRD,WS,,A,9,9,,168,168,16,7.3
12/18/58,1958.96,10:35,EST,T,USGS-WRD,WS,,A,9,9,,126,126,2,0.68
4/19/59,1959.30,14:20,EST,T,USGS-WRD,WS,,A,9,9,,1020,1020,276,760
4/20/59,1959.30,14:20,EST,T,USGS-WRD,WS,,A,9,9,,694,694,49,92
