Coord ID, Input Coord Lat, Input Coord Long,Cell Center Lat,Cell Center Long,Input Coord Lat UTM16N,Input Coord Long UTM16N,Cell Center Coord Lat UTM16N,Cell Center Coord Long UTM16N
"1	",34.5,-84,34.4796,-83.9811,3821407,775955,777468,3819274
"2	",34.55,-84,34.5629,-83.9811,3826624,775955,777090,3828677
"3	",34.55,-83.9,34.5629,-83.8978,3827524,784411,784839,3828772
"4	",34.55,-83.8,34.5629,-83.8145,3827164,793946,792447,3829008
"5	",34.6,-84,34.6046,-83.9811,3832022,775775,776995,3833166
"6	",34.6,-83.9,34.6046,-83.8978,3832921,784590,784745,3833403
"7	",34.6,-83.8,34.6046,-83.8145,3832561,794126,791927,3833922
"8	",34.65,-84,34.6463,-83.9811,3838139,775055,776806,3837797
"9	",34.65,-83.9,34.6463,-83.8978,3837779,784590,784414,3838175
"10	",34.65,-83.8,34.6463,-83.8145,3838858,793586,792211,3838270
"11	",34.7,-83.9,34.6879,-83.8978,3843896,784051,784131,3842711
